sec_from_start,pts_time,tc_seconds,tc_str
181,181.0,50439.367033333336,14:00:39:22
182,182.0,50440.367033333336,14:00:40:22
183,183.0,50441.367033333336,14:00:41:22
184,184.0,50442.367033333336,14:00:42:22
185,185.0,50443.367033333336,14:00:43:22
186,186.0,50444.367033333336,14:00:44:22
187,187.0,50445.367033333336,14:00:45:22
188,188.0,50446.367033333336,14:00:46:22
189,189.0,50447.367033333336,14:00:47:22
190,190.0,50448.367033333336,14:00:48:22
191,191.0,50449.367033333336,14:00:49:22
192,192.0,50450.367033333336,14:00:50:22
193,193.0,50451.367033333336,14:00:51:22
194,194.0,50452.367033333336,14:00:52:22
195,195.0,50453.367033333336,14:00:53:22
196,196.0,50454.367033333336,14:00:54:22
197,197.0,50455.367033333336,14:00:55:22
198,198.0,50456.367033333336,14:00:56:22
199,199.0,50457.367033333336,14:00:57:22
200,200.0,50458.367033333336,14:00:58:22
201,201.0,50459.367033333336,14:00:59:22
202,202.0,50460.367033333336,14:01:00:22
203,203.0,50461.367033333336,14:01:01:22
204,204.0,50462.367033333336,14:01:02:22
205,205.0,50463.367033333336,14:01:03:22
206,206.0,50464.367033333336,14:01:04:22
207,207.0,50465.367033333336,14:01:05:22
208,208.0,50466.367033333336,14:01:06:22
209,209.0,50467.367033333336,14:01:07:22
210,210.0,50468.367033333336,14:01:08:22
211,211.0,50469.367033333336,14:01:09:22
212,212.0,50470.367033333336,14:01:10:22
213,213.0,50471.367033333336,14:01:11:22
214,214.0,50472.367033333336,14:01:12:22
215,215.0,50473.367033333336,14:01:13:22
216,216.0,50474.367033333336,14:01:14:22
217,217.0,50475.367033333336,14:01:15:22
218,218.0,50476.367033333336,14:01:16:22
219,219.0,50477.367033333336,14:01:17:22
220,220.0,50478.367033333336,14:01:18:22
221,221.0,50479.367033333336,14:01:19:22
222,222.0,50480.367033333336,14:01:20:22
223,223.0,50481.367033333336,14:01:21:22
224,224.0,50482.367033333336,14:01:22:22
225,225.0,50483.367033333336,14:01:23:22
226,226.0,50484.367033333336,14:01:24:22
227,227.0,50485.367033333336,14:01:25:22
228,228.0,50486.367033333336,14:01:26:22
229,229.0,50487.367033333336,14:01:27:22
230,230.0,50488.367033333336,14:01:28:22
231,231.0,50489.367033333336,14:01:29:22
232,232.0,50490.367033333336,14:01:30:22
233,233.0,50491.367033333336,14:01:31:22
234,234.0,50492.367033333336,14:01:32:22
235,235.0,50493.367033333336,14:01:33:22
236,236.0,50494.367033333336,14:01:34:22
237,237.0,50495.367033333336,14:01:35:22
238,238.0,50496.367033333336,14:01:36:22
239,239.0,50497.367033333336,14:01:37:22
240,240.0,50498.367033333336,14:01:38:22
241,241.0,50499.367033333336,14:01:39:22
242,242.0,50500.367033333336,14:01:40:22
243,243.0,50501.367033333336,14:01:41:22
244,244.0,50502.367033333336,14:01:42:22
245,245.0,50503.367033333336,14:01:43:22
246,246.0,50504.367033333336,14:01:44:22
247,247.0,50505.367033333336,14:01:45:22
248,248.0,50506.367033333336,14:01:46:22
249,249.0,50507.367033333336,14:01:47:22
250,250.0,50508.367033333336,14:01:48:22
251,251.0,50509.367033333336,14:01:49:22
252,252.0,50510.367033333336,14:01:50:22
253,253.0,50511.367033333336,14:01:51:22
254,254.0,50512.367033333336,14:01:52:22
255,255.0,50513.367033333336,14:01:53:22
256,256.0,50514.367033333336,14:01:54:22
257,257.0,50515.367033333336,14:01:55:22
258,258.0,50516.367033333336,14:01:56:22
259,259.0,50517.367033333336,14:01:57:22
260,260.0,50518.367033333336,14:01:58:22
261,261.0,50519.367033333336,14:01:59:22
262,262.0,50520.367033333336,14:02:00:22
263,263.0,50521.367033333336,14:02:01:22
264,264.0,50522.367033333336,14:02:02:22
265,265.0,50523.367033333336,14:02:03:22
266,266.0,50524.367033333336,14:02:04:22
267,267.0,50525.367033333336,14:02:05:22
268,268.0,50526.367033333336,14:02:06:22
269,269.0,50527.367033333336,14:02:07:22
270,270.0,50528.367033333336,14:02:08:22
271,271.0,50529.367033333336,14:02:09:22
272,272.0,50530.367033333336,14:02:10:22
273,273.0,50531.367033333336,14:02:11:22
274,274.0,50532.367033333336,14:02:12:22
275,275.0,50533.367033333336,14:02:13:22
276,276.0,50534.367033333336,14:02:14:22
277,277.0,50535.367033333336,14:02:15:22
278,278.0,50536.367033333336,14:02:16:22
279,279.0,50537.367033333336,14:02:17:22
280,280.0,50538.367033333336,14:02:18:22
281,281.0,50539.367033333336,14:02:19:22
282,282.0,50540.367033333336,14:02:20:22
283,283.0,50541.367033333336,14:02:21:22
284,284.0,50542.367033333336,14:02:22:22
285,285.0,50543.367033333336,14:02:23:22
286,286.0,50544.367033333336,14:02:24:22
287,287.0,50545.367033333336,14:02:25:22
288,288.0,50546.367033333336,14:02:26:22
289,289.0,50547.367033333336,14:02:27:22
290,290.0,50548.367033333336,14:02:28:22
291,291.0,50549.367033333336,14:02:29:22
292,292.0,50550.367033333336,14:02:30:22
293,293.0,50551.367033333336,14:02:31:22
294,294.0,50552.367033333336,14:02:32:22
295,295.0,50553.367033333336,14:02:33:22
296,296.0,50554.367033333336,14:02:34:22
297,297.0,50555.367033333336,14:02:35:22
298,298.0,50556.367033333336,14:02:36:22
299,299.0,50557.367033333336,14:02:37:22
300,300.0,50558.367033333336,14:02:38:22
301,301.0,50559.367033333336,14:02:39:22
302,302.0,50560.367033333336,14:02:40:22
303,303.0,50561.367033333336,14:02:41:22
304,304.0,50562.367033333336,14:02:42:22
305,305.0,50563.367033333336,14:02:43:22
306,306.0,50564.367033333336,14:02:44:22
307,307.0,50565.367033333336,14:02:45:22
308,308.0,50566.367033333336,14:02:46:22
309,309.0,50567.367033333336,14:02:47:22
310,310.0,50568.367033333336,14:02:48:22
311,311.0,50569.367033333336,14:02:49:22
312,312.0,50570.367033333336,14:02:50:22
313,313.0,50571.367033333336,14:02:51:22
314,314.0,50572.367033333336,14:02:52:22
315,315.0,50573.367033333336,14:02:53:22
316,316.0,50574.367033333336,14:02:54:22
317,317.0,50575.367033333336,14:02:55:22
318,318.0,50576.367033333336,14:02:56:22
319,319.0,50577.367033333336,14:02:57:22
320,320.0,50578.367033333336,14:02:58:22
321,321.0,50579.367033333336,14:02:59:22
322,322.0,50580.367033333336,14:03:00:22
323,323.0,50581.367033333336,14:03:01:22
324,324.0,50582.367033333336,14:03:02:22
325,325.0,50583.367033333336,14:03:03:22
326,326.0,50584.367033333336,14:03:04:22
327,327.0,50585.367033333336,14:03:05:22
328,328.0,50586.367033333336,14:03:06:22
329,329.0,50587.367033333336,14:03:07:22
330,330.0,50588.367033333336,14:03:08:22
331,331.0,50589.367033333336,14:03:09:22
332,332.0,50590.367033333336,14:03:10:22
333,333.0,50591.367033333336,14:03:11:22
334,334.0,50592.367033333336,14:03:12:22
335,335.0,50593.367033333336,14:03:13:22
336,336.0,50594.367033333336,14:03:14:22
337,337.0,50595.367033333336,14:03:15:22
338,338.0,50596.367033333336,14:03:16:22
339,339.0,50597.367033333336,14:03:17:22
340,340.0,50598.367033333336,14:03:18:22
341,341.0,50599.367033333336,14:03:19:22
342,342.0,50600.367033333336,14:03:20:22
343,343.0,50601.367033333336,14:03:21:22
344,344.0,50602.367033333336,14:03:22:22
345,345.0,50603.367033333336,14:03:23:22
346,346.0,50604.367033333336,14:03:24:22
347,347.0,50605.367033333336,14:03:25:22
348,348.0,50606.367033333336,14:03:26:22
349,349.0,50607.367033333336,14:03:27:22
350,350.0,50608.367033333336,14:03:28:22
351,351.0,50609.367033333336,14:03:29:22
352,352.0,50610.367033333336,14:03:30:22
353,353.0,50611.367033333336,14:03:31:22
354,354.0,50612.367033333336,14:03:32:22
355,355.0,50613.367033333336,14:03:33:22
