window_id,start_idx_in_video_subset,end_idx_in_video_subset,start_time,end_time
251,25100,25299,2025-07-17 14:06:00,2025-07-17 14:06:03.980
252,25200,25399,2025-07-17 14:06:02,2025-07-17 14:06:05.980
253,25300,25499,2025-07-17 14:06:04,2025-07-17 14:06:07.980
254,25400,25599,2025-07-17 14:06:06,2025-07-17 14:06:09.980
255,25500,25699,2025-07-17 14:06:08,2025-07-17 14:06:11.980
256,25600,25799,2025-07-17 14:06:10,2025-07-17 14:06:13.980
257,25700,25899,2025-07-17 14:06:12,2025-07-17 14:06:15.980
258,25800,25999,2025-07-17 14:06:14,2025-07-17 14:06:17.980
259,25900,26099,2025-07-17 14:06:16,2025-07-17 14:06:19.980
260,26000,26199,2025-07-17 14:06:18,2025-07-17 14:06:21.980
261,26100,26299,2025-07-17 14:06:20,2025-07-17 14:06:23.980
262,26200,26399,2025-07-17 14:06:22,2025-07-17 14:06:25.980
263,26300,26499,2025-07-17 14:06:24,2025-07-17 14:06:27.980
264,26400,26599,2025-07-17 14:06:26,2025-07-17 14:06:29.980
265,26500,26699,2025-07-17 14:06:28,2025-07-17 14:06:31.980
266,26600,26799,2025-07-17 14:06:30,2025-07-17 14:06:33.980
267,26700,26899,2025-07-17 14:06:32,2025-07-17 14:06:35.980
268,26800,26999,2025-07-17 14:06:34,2025-07-17 14:06:37.980
269,26900,27099,2025-07-17 14:06:36,2025-07-17 14:06:39.980
270,27000,27199,2025-07-17 14:06:38,2025-07-17 14:06:41.980
271,27100,27299,2025-07-17 14:06:40,2025-07-17 14:06:43.980
272,27200,27399,2025-07-17 14:06:42,2025-07-17 14:06:45.980
273,27300,27499,2025-07-17 14:06:44,2025-07-17 14:06:47.980
274,27400,27599,2025-07-17 14:06:46,2025-07-17 14:06:49.980
275,27500,27699,2025-07-17 14:06:48,2025-07-17 14:06:51.980
276,27600,27799,2025-07-17 14:06:50,2025-07-17 14:06:53.980
277,27700,27899,2025-07-17 14:06:52,2025-07-17 14:06:55.980
278,27800,27999,2025-07-17 14:06:54,2025-07-17 14:06:57.980
279,27900,28099,2025-07-17 14:06:56,2025-07-17 14:06:59.980
280,28000,28199,2025-07-17 14:06:58,2025-07-17 14:07:01.980
281,28100,28299,2025-07-17 14:07:00,2025-07-17 14:07:03.980
282,28200,28399,2025-07-17 14:07:02,2025-07-17 14:07:05.980
283,28300,28499,2025-07-17 14:07:04,2025-07-17 14:07:07.980
284,28400,28599,2025-07-17 14:07:06,2025-07-17 14:07:09.980
285,28500,28699,2025-07-17 14:07:08,2025-07-17 14:07:11.980
286,28600,28799,2025-07-17 14:07:10,2025-07-17 14:07:13.980
287,28700,28899,2025-07-17 14:07:12,2025-07-17 14:07:15.980
288,28800,28999,2025-07-17 14:07:14,2025-07-17 14:07:17.980
289,28900,29099,2025-07-17 14:07:16,2025-07-17 14:07:19.980
290,29000,29199,2025-07-17 14:07:18,2025-07-17 14:07:21.980
291,29100,29299,2025-07-17 14:07:20,2025-07-17 14:07:23.980
292,29200,29399,2025-07-17 14:07:22,2025-07-17 14:07:25.980
293,29300,29499,2025-07-17 14:07:24,2025-07-17 14:07:27.980
294,29400,29599,2025-07-17 14:07:26,2025-07-17 14:07:29.980
295,29500,29699,2025-07-17 14:07:28,2025-07-17 14:07:31.980
296,29600,29799,2025-07-17 14:07:30,2025-07-17 14:07:33.980
297,29700,29899,2025-07-17 14:07:32,2025-07-17 14:07:35.980
298,29800,29999,2025-07-17 14:07:34,2025-07-17 14:07:37.980
299,29900,30099,2025-07-17 14:07:36,2025-07-17 14:07:39.980
300,30000,30199,2025-07-17 14:07:38,2025-07-17 14:07:41.980
301,30100,30299,2025-07-17 14:07:40,2025-07-17 14:07:43.980
302,30200,30399,2025-07-17 14:07:42,2025-07-17 14:07:45.980
303,30300,30499,2025-07-17 14:07:44,2025-07-17 14:07:47.980
304,30400,30599,2025-07-17 14:07:46,2025-07-17 14:07:49.980
305,30500,30699,2025-07-17 14:07:48,2025-07-17 14:07:51.980
